zonas,areas_quartos,enderecos,precos
sul,18 m² construídos1 quarto,"Rua Pelotas, Vila Mariana, São Paulo Zona Sul, São Paulo",1.900
sul,140 m² construídos3 quartos,"Avenida Nazaré, Ipiranga, São Paulo Zona Sul, São Paulo",7.200
sul,51 m² construídos2 quartos,"Rua Francisco Tapajós, Vila Santo Estéfano, São Paulo Zona Sul, São Paulo",1.457
sul,94 m² construídos2 quartos,"Rua Helena, Vila Olímpia, São Paulo Zona Sul, São Paulo",6.750
sul,60 m² construídos2 quartos,"Av Lins Vasconcelos, Cambuci, São Paulo Zona Sul, São Paulo",1.600
sul,98 m² construídos3 quartos,"Rua Pires Da Mota, Aclimação, São Paulo Zona Sul, São Paulo",1.880
sul,53 m² construídos1 quarto,"Rua Henri Dunant, Santo Amaro, São Paulo Zona Sul, São Paulo",5.200
sul,150 m² construídos2 quartos,"Alameda Dos Tacaúnas, Planalto Paulista, São Paulo Zona Sul, São Paulo",3.160
sul,160 m² construídos3 quartos,"Avenida Mário Lopes Leão, 1350, Santo Amaro, Santo Amaro, São Paulo Zona Sul, São Paulo",6.500
sul,65 m² construídos2 quartos,"Rua Matilde Diez, Vila Do Castelo, São Paulo Zona Sul, São Paulo",1.610
sul,35 m² construídos1 quarto,"Rua Bueno De Andrade, Aclimação, São Paulo Zona Sul, São Paulo",1.400
sul,43 m² construídos2 quartos,"Avenida Dos Ourives, Jardim São Savério, São Paulo Zona Sul, São Paulo",1.200
sul,90 m² construídos3 quartos,"Rua Bandeira Paulista, Itaim Bibi, São Paulo Zona Sul, São Paulo",3.500
sul,160 m² construídos3 quartos,"Rua Embaixador Coelho De Almeida, Parque Jabaquara, São Paulo Zona Sul, São Paulo",2.720
sul,70 m² construídos1 quarto,"Avenida Portugal, Brooklin Paulista, São Paulo Zona Sul, São Paulo",3.950
sul,59 m² construídos2 quartos,"Rua Do Parque, Vila Dom Pedro I, São Paulo Zona Sul, São Paulo",2.400
sul,48 m² construídos1 quarto,"Avenida Jurema 147, Indianópolis, São Paulo Zona Sul, São Paulo",2.000
sul,13 m² construídos1 quarto,"Rua Pelotas, Vila Mariana, São Paulo Zona Sul, São Paulo",1.950
sul,50 m² construídos1 quarto,"Rua Doutor Ivo Define Frasca, Vila Olímpia, São Paulo Zona Sul, São Paulo",3.200
sul,68 m² construídos2 quartos,"Rua Édison, Campo Belo, São Paulo Zona Sul, São Paulo",2.650
sul,120 m² construídos3 quartos,"Rua Bandeira Paulista, Itaim Bibi, São Paulo Zona Sul, São Paulo",4.300
sul,380 m² construídos7 quartos,"Rua Valê De Amoreira, Jardim Miriam, São Paulo Zona Sul, São Paulo",10.000
sul,217 m² construídos3 quartos,"Rua Paulo Orozimbo, Cambuci, São Paulo Zona Sul, São Paulo",5.000
sul,85 m² construídos2 quartos,"Rua Doutor José De Queirós Aranha, Vila Mariana, São Paulo Zona Sul, São Paulo",3.160
sul,100 m² construídos2 quartos,"Rua Caravelas, Vila Mariana, São Paulo Zona Sul, São Paulo",4.300
sul,68 m² construídos3 quartos,"Rua Ângelo Bertini, Jardim Celeste, São Paulo Zona Sul, São Paulo",1.700
sul,37 m² construídos1 quarto,"Avenida Dória, Vila Alexandria, São Paulo Zona Sul, São Paulo",1.935
sul,52 m² construídos1 quarto,"Avenida Moema, Moema, São Paulo Zona Sul, São Paulo",2.522
