zonas,areas_quartos,enderecos,precos
sul,104 m² construídos2 quartos,"Rua Topazio, Vila Mariana, São Paulo Zona Sul, São Paulo",3.150
sul,76 m² construídos2 quartos,"Rua Guairá, Saúde, São Paulo Zona Sul, São Paulo",4.200
sul,66 m² construídos1 quarto,"Rua João Lourenço, Vila Nova Conceição, São Paulo Zona Sul, São Paulo",4.000
sul,74 m² construídos3 quartos,"Rua Gomes De Carvalho, Vila Olímpia, São Paulo Zona Sul, São Paulo",3.590
sul,45 m² construídos2 quartos,"Rua Das Grumixamas, Vila Parque Jabaquara, São Paulo Zona Sul, São Paulo",1.600
sul,38 m² construídos1 quarto,"R. Cel. Artur De Paula Ferreira, Vila Nova Conceição, São Paulo Zona Sul, São Paulo",1.950
sul,50 m² construídos2 quartos,"Rua Doutor Djalma Pinheiro Franco, Vila Santa Catarina, São Paulo Zona Sul, São Paulo",2.800
sul,90 m² construídos2 quartos,"Rua Teodureto Souto, Cambuci, São Paulo Zona Sul, São Paulo",3.225
sul,49 m² construídos2 quartos,"Rua Doutor Abelardo Vergueiro César, Vila Alexandria, São Paulo Zona Sul, São Paulo",1.500
sul,34 m² construídos1 quarto,"Rua Guararapes, 305, Brooklin Paulista, Brooklin Paulista, São Paulo Zona Sul, São Paulo",2.700
oeste,51 m² construídos2 quartos,"Rua Torres Da Barra, Água Branca, São Paulo Zona Oeste, São Paulo",2.200
oeste,50 m² construídos2 quartos,"Estrada Do Campo Limpo, Pirajussara, São Paulo Zona Oeste, São Paulo",1.393
oeste,46 m² construídos2 quartos,"Avenida Raimundo Pereira De Magalhães, Jardim Íris, São Paulo Zona Oeste, São Paulo",2.000
oeste,130 m² construídos4 quartos,"Rua Doutor James Ferraz Alvim, Vila Suzana, São Paulo Zona Oeste, São Paulo",1.795
oeste,92 m² construídos3 quartos,"Avenida Jaguaré, Jaguaré, São Paulo Zona Oeste, São Paulo",1.680
oeste,70 m² construídos2 quartos,"Rua Bárbara Heliodora, Vila Romana, São Paulo Zona Oeste, São Paulo",1.549
oeste,80 m² construídos3 quartos,"Avenida Doutor Guilherme Dumont Vilares, Jardim Londrina, São Paulo Zona Oeste, São Paulo",1.600
oeste,50 m² construídos2 quartos,"Rua Itapicuru, Perdizes, São Paulo Zona Oeste, São Paulo",1.650
oeste,50 m² construídos2 quartos,"Avenida Direitos Humanos, Educandário, São Paulo Zona Oeste, São Paulo",1.102
oeste,20 m² construídos1 quarto,"Avenida Engenheiro Heitor Antônio Eiras García, Jardim Esmeralda, São Paulo Zona Oeste, São Paulo",1.300
oeste,50 m² construídos1 quarto,"Av. Eng. Heitor Antônio Eiras García, Jardim Bonfiglioli, São Paulo Zona Oeste, São Paulo",1.224
oeste,86 m² construídos3 quartos,"Rua Camilo, Vila Romana, São Paulo Zona Oeste, São Paulo",3.900
oeste,60 m² construídos2 quartos,"Rua Catão, Vila Romana, São Paulo Zona Oeste, São Paulo",4.000
oeste,50 m² construídos2 quartos,"Rua João Simões De Souza, Parque Rebouças, São Paulo Zona Oeste, São Paulo",1.600
oeste,30 m² construídos1 quarto,"Rua Fradique Coutinho, Pinheiros, São Paulo Zona Oeste, São Paulo",3.500
oeste,73 m² construídos3 quartos,"Avenida Diógenes Ribeiro De Lima, Alto De Pinheiros, São Paulo Zona Oeste, São Paulo",1.800
oeste,85 m² construídos3 quartos,"Rua M.m.d.c, Butantã, São Paulo Zona Oeste, São Paulo",3.400
oeste,73 m² construídos3 quartos,"Rua Doutor José De Andrade Figueira, Vila Suzana, São Paulo Zona Oeste, São Paulo",2.250
oeste,120 m² construídos3 quartos,"Rua Cardoso De Almeida, Perdizes, São Paulo Zona Oeste, São Paulo",2.200
oeste,60 m² construídos3 quartos,"Avenida Nossa Senhora Da Assunção, Vila Butantã, São Paulo Zona Oeste, São Paulo",1.500
oeste,75 m² construídos2 quartos,"Avenida Anastácio, City América, São Paulo Zona Oeste, São Paulo",2.350
oeste,550 m² construídos8 quartos,"Avenida General Cavalcanti De Albuquerque, Jardim Londrina, São Paulo Zona Oeste, São Paulo",12.000
oeste,210 m² construídos3 quartos,"Rua Professora Gioconda Mussolini, Vila Gomes, São Paulo Zona Oeste, São Paulo",7.800
oeste,80 m² construídos2 quartos,"Rua Carneiro Da Silva, Vila Leopoldina, São Paulo Zona Oeste, São Paulo",2.040
oeste,113 m² construídos3 quartos,"Avenida Dona Helena Pereira De Moraes, Parque Do Morumbi, São Paulo Zona Oeste, São Paulo",5.500
oeste,78 m² construídos2 quartos,"R. Tiagem, Jaguaré, São Paulo Zona Oeste, São Paulo",1.400
oeste,150 m² construídos3 quartos,"Rua Doutor Amando Franco Soares Caiuby, Parque Bairro Morumbi, São Paulo Zona Oeste, São Paulo",3.000
oeste,70 m² construídos2 quartos,"Rua Passo Da Pátria, Bela Aliança, São Paulo Zona Oeste, São Paulo",2.650
oeste,256 m² construídos3 quartos,"Rua Marco Aurélio, Vila Romana, São Paulo Zona Oeste, São Paulo",9.000
oeste,32 m² construídos1 quarto,"Rua Torres Da Barra, Água Branca, São Paulo Zona Oeste, São Paulo",1.650
oeste,113 m² construídos2 quartos,"Rua Embiruçú, Vila Beatriz, São Paulo Zona Oeste, São Paulo",1.800
oeste,70 m² construídos2 quartos,"Rua Costa Carvalho, Pinheiros, São Paulo Zona Oeste, São Paulo",2.300
oeste,84 m² construídos3 quartos,"Rua Itapicuru, Perdizes, São Paulo Zona Oeste, São Paulo",2.800
oeste,95 m² construídos3 quartos,"Rua José Ramon Urtiza, Jardim Namba, São Paulo Zona Oeste, São Paulo",2.750
oeste,395 m² construídos4 quartos,"Rua Doutor Nelson Cayres De Britto, Butantã, São Paulo Zona Oeste, São Paulo",3.500
oeste,77 m² construídos2 quartos,"Rua João Moura, Pinheiros, São Paulo Zona Oeste, São Paulo",2.950
oeste,20 m² construídos1 quarto,"Rua Abadia Dos Dourados, Vila Indiana, São Paulo Zona Oeste, São Paulo",1.000
oeste,460 m² construídos5 quartos,"Rua Pio Xi, Alto De Pinheiros, São Paulo Zona Oeste, São Paulo",9.000
oeste,68 m² construídos1 quarto,"Rua Paes Leme, Pinheiros, São Paulo Zona Oeste, São Paulo",5.800
oeste,60 m² construídos2 quartos,"Avenida Presidente Altino, Jaguaré, São Paulo Zona Oeste, São Paulo",2.140
oeste,60 m² construídos2 quartos,"Rua Alves Guimarães, Pinheiros, São Paulo Zona Oeste, São Paulo",2.987
oeste,150 m² construídos2 quartos,"Rua Caraíbas, Perdizes, São Paulo Zona Oeste, São Paulo",3.200
oeste,60 m² construídos2 quartos,"Rua Eugênio De Medeiros, Pinheiros, São Paulo Zona Oeste, São Paulo",4.200
oeste,40 m² construídos1 quarto,"Rua Oscar Freire, Pinheiros, São Paulo Zona Oeste, São Paulo",2.600
oeste,76 m² construídos3 quartos,"Avenida Diógenes Ribeiro De Lima, Alto De Pinheiros, São Paulo Zona Oeste, São Paulo",2.250
oeste,60 m² construídos2 quartos,"Rua Raul Pompéia, Vila Pompéia, São Paulo Zona Oeste, São Paulo",2.730
oeste,72 m² construídos1 quarto,"Rua Alves Guimarães, Pinheiros, São Paulo Zona Oeste, São Paulo",3.000
oeste,86 m² construídos2 quartos,"Rua Capote Valente, Pinheiros, São Paulo Zona Oeste, São Paulo",2.350
oeste,97 m² construídos2 quartos,"Rua Artur De Azevedo, Pinheiros, São Paulo Zona Oeste, São Paulo",2.987
oeste,52 m² construídos1 quarto,"Rua Capote Valente, Pinheiros, São Paulo Zona Oeste, São Paulo",3.610
oeste,64 m² construídos2 quartos,"Rua Doutor Virgílio De Carvalho Pinto, Pinheiros, São Paulo Zona Oeste, São Paulo",4.000
oeste,42 m² construídos2 quartos,"Avenida Hebe Camargo, Parque Do Morumbi, São Paulo Zona Oeste, São Paulo",1.545
oeste,70 m² construídos2 quartos,"Rua Paulistânia, Sumarezinho, São Paulo Zona Oeste, São Paulo",4.200
oeste,65 m² construídos2 quartos,"Rua Miguel Sevílio, Rio Pequeno, São Paulo Zona Oeste, São Paulo",2.250
oeste,106 m² construídos3 quartos,"Rua Oscar Freire, Pinheiros, São Paulo Zona Oeste, São Paulo",6.500
oeste,120 m² construídos3 quartos,"Rua Campevas, Perdizes, São Paulo Zona Oeste, São Paulo",3.055
oeste,105 m² construídos3 quartos,"Rua Dona Veridiana, Higienópolis, São Paulo Zona Oeste, São Paulo",2.850
oeste,73 m² construídos2 quartos,"Rua Gilberto Sabino, Pinheiros, São Paulo Zona Oeste, São Paulo",6.500
oeste,104 m² construídos2 quartos,"Rua Flórida, Cidade Moncoes, São Paulo Zona Oeste, São Paulo",3.756
oeste,59 m² construídos2 quartos,"Rua Inácio Manuel Álvares, Jardim Ester, São Paulo Zona Oeste, São Paulo",2.100
oeste,210 m² construídos3 quartos,"Rua Tonelero, Vila Ipojuca, São Paulo Zona Oeste, São Paulo",3.242
oeste,83 m² construídos3 quartos,"Rua Conceição De Monte Alegre, Cidade Moncoes, São Paulo Zona Oeste, São Paulo",3.850
oeste,70 m² construídos2 quartos,"Rua Paes Leme, Pinheiros, São Paulo Zona Oeste, São Paulo",5.005
oeste,250 m² construídos3 quartos,"Rua Engenheiro Pedro Garcin, Vila Antônio, São Paulo Zona Oeste, São Paulo",3.100
oeste,60 m² construídos2 quartos,"Rua Ministro Gastão Mesquita, Perdizes, São Paulo Zona Oeste, São Paulo",2.800
oeste,79 m² construídos2 quartos,"Rua Bartira, Perdizes, São Paulo Zona Oeste, São Paulo",1.967
oeste,110 m² construídos3 quartos,"Rua Cayowaá, Perdizes, São Paulo Zona Oeste, São Paulo",3.500
oeste,66 m² construídos2 quartos,"Avenida Eliseu De Almeida, Instituto De Previdência, São Paulo Zona Oeste, São Paulo",2.200
oeste,39 m² construídos1 quarto,"Rua Aimberê, Perdizes, São Paulo Zona Oeste, São Paulo",2.418
oeste,158 m² construídos3 quartos,"Rua Tavares Bastos, Perdizes, São Paulo Zona Oeste, São Paulo",2.700
oeste,84 m² construídos3 quartos,"Rua Raul Pompeia, Vila Pompéia, São Paulo Zona Oeste, São Paulo",3.250
oeste,37 m² construídos1 quarto,"Rua Dona Maria Carolina, Jardim Paulistano, São Paulo Zona Oeste, São Paulo",5.067
oeste,54 m² construídos1 quarto,"Rua Sansao Alves Dos Santos, Cidade Moncoes, São Paulo Zona Oeste, São Paulo",4.932
oeste,149 m² construídos3 quartos,"Rua David Ben Gurion, Jardim Monte Kemel, São Paulo Zona Oeste, São Paulo",4.000
oeste,63 m² construídos2 quartos,"Rua Passo Da Pátria, Bela Aliança, São Paulo Zona Oeste, São Paulo",2.500
oeste,78 m² construídos2 quartos,"Rua Engenheiro Heitor Antônio Eiras Garcia, Jardim Esmeralda, São Paulo Zona Oeste, São Paulo",3.000
oeste,67 m² construídos2 quartos,"Avenida Otacílio Tomanik, Vila Polopoli, São Paulo Zona Oeste, São Paulo",2.250
oeste,72 m² construídos2 quartos,"Rua Ourânia, Vila Madalena, São Paulo Zona Oeste, São Paulo",3.000
oeste,57 m² construídos2 quartos,"Rua Antônio Júlio Dos Santos, Fazenda Morumbi, São Paulo Zona Oeste, São Paulo",1.196
oeste,48 m² construídos2 quartos,"Rua João Simões De Souza, Parque Rebouças, São Paulo Zona Oeste, São Paulo",1.440
oeste,87 m² construídos2 quartos,"Rua Dardanelos, Alto Da Lapa, São Paulo Zona Oeste, São Paulo",4.700
oeste,155 m² construídos3 quartos,"Rua Bergamota, Alto Da Lapa, São Paulo Zona Oeste, São Paulo",4.300
oeste,26 m² construídos2 quartos,"Rua Abadia Dos Dourados, Vila Indiana, São Paulo Zona Oeste, São Paulo",1.300
oeste,84 m² construídos2 quartos,"Rua Francisco Leitão, Pinheiros, São Paulo Zona Oeste, São Paulo",2.800
oeste,65 m² construídos2 quartos,"Rua Roma, Lapa, São Paulo Zona Oeste, São Paulo",2.700
oeste,93 m² construídos3 quartos,"Rua Conceição De Monte Alegre, Cidade Moncoes, São Paulo Zona Oeste, São Paulo",4.500
oeste,64 m² construídos2 quartos,"Rua Joseph Nigri, Água Branca, São Paulo Zona Oeste, São Paulo",4.250
oeste,52 m² construídos2 quartos,"R. Torres Da Barra, Água Branca, São Paulo Zona Oeste, São Paulo",2.300
oeste,76 m² construídos3 quartos,"Rua Jaguaré - Jaguaré, São Paulo - Sp, Brasil, Jaguaré, São Paulo Zona Oeste, São Paulo",2.200
oeste,65 m² construídos3 quartos,"Avenida Engenheiro Heitor Antônio Eiras García, Jardim Esmeralda, São Paulo Zona Oeste, São Paulo",2.600
oeste,63 m² construídos2 quartos,"Rua Trípoli, Vila Leopoldina, São Paulo Zona Oeste, São Paulo",2.500
oeste,45 m² construídos1 quarto,"Rua Itapicuru, Perdizes, São Paulo Zona Oeste, São Paulo",2.909
oeste,37 m² construídos1 quarto,"Avenida Eusébio Matoso, Pinheiros, São Paulo Zona Oeste, São Paulo",4.500
oeste,68 m² construídos2 quartos,"Rua João Simões De Souza, Parque Rebouças, São Paulo Zona Oeste, São Paulo",2.450
oeste,48 m² construídos2 quartos,"Rua Bazílio Da Silva, Jardim Monte Alegre, São Paulo Zona Oeste, São Paulo",1.299
oeste,240 m² construídos2 quartos,"Rua Doutor Artur Neiva, Vila Universitária, São Paulo Zona Oeste, São Paulo",2.626
oeste,61 m² construídos2 quartos,"Avenida Jaguaré, Jaguaré, São Paulo Zona Oeste, São Paulo",1.950
oeste,43 m² construídos1 quarto,"Rua Arizona, Cidade Moncoes, São Paulo Zona Oeste, São Paulo",4.100
oeste,168 m² construídos4 quartos,"Rua Tito, Vila Romana, São Paulo Zona Oeste, São Paulo",10.500
oeste,90 m² construídos2 quartos,"Rua Alagoas, Higienópolis, São Paulo Zona Oeste, São Paulo",4.250
oeste,71 m² construídos3 quartos,"Avenida Diógenes Ribeiro De Lima, Alto De Pinheiros, São Paulo Zona Oeste, São Paulo",2.440
oeste,80 m² construídos2 quartos,"Rua Francisco Dias Velho, Vila Cordeiro, São Paulo Zona Oeste, São Paulo",5.525
oeste,59 m² construídos2 quartos,"Rua João Moura, Pinheiros, São Paulo Zona Oeste, São Paulo",5.500
oeste,50 m² construídos1 quarto,"Avenida Eusébio Matoso, Pinheiros, São Paulo Zona Oeste, São Paulo",4.000
oeste,52 m² construídos2 quartos,"Rua Belmonte, Bela Aliança, São Paulo Zona Oeste, São Paulo",2.700
oeste,157 m² construídos4 quartos,"Rua Itapaiuna, Jardim Morumbi, São Paulo Zona Oeste, São Paulo",5.500
oeste,110 m² construídos3 quartos,"Rua Professor José Geraldo De Lima, Vila Tiradentes, São Paulo Zona Oeste, São Paulo",2.550
oeste,49 m² construídos1 quarto,"Rua Nicolau Barreto, Vila Cordeiro, São Paulo Zona Oeste, São Paulo",3.300
oeste,118 m² construídos3 quartos,"Rua Francisco Alves Quinta, Jardim Taboão, São Paulo Zona Oeste, São Paulo",2.970
oeste,121 m² construídos2 quartos,"Avenida Escola Politécnica, Rio Pequeno, São Paulo Zona Oeste, São Paulo",3.100
oeste,204 m² construídos3 quartos,"Rua Paraguaçu, Perdizes, São Paulo Zona Oeste, São Paulo",7.800
oeste,65 m² construídos2 quartos,"Rua Ciro Costa, Perdizes, São Paulo Zona Oeste, São Paulo",3.000
oeste,43 m² construídos1 quarto,"Rua Alves Guimarães, Pinheiros, São Paulo Zona Oeste, São Paulo",3.702
oeste,83 m² construídos3 quartos,"Avenida Francisco Matarazzo, Água Branca, São Paulo Zona Oeste, São Paulo",3.000
oeste,55 m² construídos1 quarto,"Rua Emílio De Sousa Docca, Vila Vasconcelos, São Paulo Zona Oeste, São Paulo",1.380
oeste,105 m² construídos2 quartos,"Rua Senador César Lacerda Vergueiro, Sumarezinho, São Paulo Zona Oeste, São Paulo",3.500
oeste,100 m² construídos3 quartos,"Rua Doutor Alexandre Marcondes Filho, Jardim Trussardi, São Paulo Zona Oeste, São Paulo",3.960
oeste,160 m² construídos5 quartos,"Rua André Carnegie, Vila São Luís, São Paulo Zona Oeste, São Paulo",5.700
oeste,68 m² construídos2 quartos,"Avenida Imperatriz Leopoldina, Vila Leopoldina, São Paulo Zona Oeste, São Paulo",2.970
oeste,343 m² construídos4 quartos,"Rua Jacunda, Jardim Panorama, São Paulo Zona Oeste, São Paulo",11.000
oeste,145 m² construídos4 quartos,"Rua Doutor Franco Da Rocha, Perdizes, São Paulo Zona Oeste, São Paulo",5.400
oeste,126 m² construídos3 quartos,"Rua Cancioneiro De Évora, 515, Jardim Novo Santo Amaro, Jardim Novo Santo Amaro, São Paulo Zona Oeste, São Paulo",3.340
oeste,65 m² construídos2 quartos,"Rua Diana, Perdizes, São Paulo Zona Oeste, São Paulo",3.000
oeste,52 m² construídos1 quarto,"Rua Capote Valente, Pinheiros, São Paulo Zona Oeste, São Paulo",5.385
oeste,400 m² construídos4 quartos,"Rua Lívio Edmondo Levi, Fazenda Morumbi, São Paulo Zona Oeste, São Paulo",8.000
oeste,72 m² construídos2 quartos,"Rua Capote Valente, Pinheiros, São Paulo Zona Oeste, São Paulo",6.400
oeste,70 m² construídos2 quartos,"Rua Tonelero, Vila Ipojuca, São Paulo Zona Oeste, São Paulo",2.300
oeste,65 m² construídos2 quartos,"Avenida Doutor Mário Vilas Boas Rodrigues, Jardim Novo Santo Amaro, São Paulo Zona Oeste, São Paulo",2.400
oeste,140 m² construídos3 quartos,"Rua Wanderley, Perdizes, São Paulo Zona Oeste, São Paulo",4.400
oeste,30 m² construídos1 quarto,"Rua Álvaro Rodrigues, Vila Cordeiro, São Paulo Zona Oeste, São Paulo",2.600
oeste,35 m² construídos1 quarto,"Rua Domingos Portela, Jardim Das Vertentes, São Paulo Zona Oeste, São Paulo",1.300
oeste,35 m² construídos1 quarto,"Rua Domingos Portela, Jardim Das Vertentes, São Paulo Zona Oeste, São Paulo",1.300
oeste,52 m² construídos1 quarto,"Rua Capote Valente, Pinheiros, São Paulo Zona Oeste, São Paulo",7.000
oeste,58 m² construídos1 quarto,"Rua Girassol, Pinheiros, São Paulo Zona Oeste, São Paulo",4.000
oeste,45 m² construídos2 quartos,"Rua Heitor Penteado, Sumarezinho, São Paulo Zona Oeste, São Paulo",2.660
oeste,122 m² construídos3 quartos,"Rua Das Tabocas, Vila Madalena, São Paulo Zona Oeste, São Paulo",8.300
oeste,150 m² construídos3 quartos,"Rua Camilo, Vila Romana, São Paulo Zona Oeste, São Paulo",5.400
oeste,55 m² construídos2 quartos,"Rua Haroldo Pacheco E Silva, Vila Ipojuca, São Paulo Zona Oeste, São Paulo",2.100
oeste,75 m² construídos3 quartos,"Rua Barão Do Bananal, Vila Pompéia, São Paulo Zona Oeste, São Paulo",3.300
oeste,41 m² construídos1 quarto,"Rua Djalma Coelho, Sumarezinho, São Paulo Zona Oeste, São Paulo",3.880
oeste,99 m² construídos2 quartos,"Rua Armando De Almeida, Jardim Rizzo, São Paulo Zona Oeste, São Paulo",3.000
oeste,76 m² construídos2 quartos,"Rua David Matarasso, Jardim Monte Kemel, São Paulo Zona Oeste, São Paulo",3.300
oeste,15 m² construídos1 quarto,"Rua Amorim Castro, Vila São Luís, São Paulo Zona Oeste, São Paulo",656
oeste,40 m² construídos1 quarto,"Rua Luso, Vila Tramontano, São Paulo Zona Oeste, São Paulo",1.868
oeste,35 m² construídos1 quarto,"Rua Domingos Portela, Jardim Das Vertentes, São Paulo Zona Oeste, São Paulo",1.300
oeste,35 m² construídos1 quarto,"Rua Domingos Portela, Jardim Das Vertentes, São Paulo Zona Oeste, São Paulo",1.300
oeste,35 m² construídos1 quarto,"Rua Domingos Portela, Jardim Das Vertentes, São Paulo Zona Oeste, São Paulo",1.300
oeste,55 m² construídos2 quartos,"Rua Trajano Reis, Butantã, São Paulo Zona Oeste, São Paulo",1.600
oeste,20 m² construídos1 quarto,"Rua Corinto, Vila Indiana, São Paulo Zona Oeste, São Paulo",1.450
oeste,29 m² construídos1 quarto,"Rua Conselheiro Nébias, Retiro Morumbi, São Paulo Zona Oeste, São Paulo",1.760
oeste,16 m² construídos1 quarto,"Rua Tenente Landy, Lapa De Baixo, São Paulo Zona Oeste, São Paulo",916
oeste,54 m² construídos2 quartos,"Rua Prado Valadares, Vila Polopoli, São Paulo Zona Oeste, São Paulo",1.650
oeste,50 m² construídos2 quartos,"Avenida Cláudio Franchi, Jardim Monte Kemel, São Paulo Zona Oeste, São Paulo",1.100
oeste,34 m² construídos1 quarto,"Cardoso De Almeida 840, Perdizes, São Paulo Zona Oeste, São Paulo",2.250
oeste,35 m² construídos1 quarto,"Rua Itirapuã, Jardim Iracema, São Paulo Zona Oeste, São Paulo",1.050
oeste,50 m² construídos2 quartos,"Jardim Novo Santo Amaro, São Paulo Zona Oeste, São Paulo",850
oeste,30 m² construídos1 quarto,"Rua Doutor Osvaldo Mellone, Vila Prel, São Paulo Zona Oeste, São Paulo",1.050
oeste,65 m² construídos3 quartos,"Avenida Do Anastacio, City América, São Paulo Zona Oeste, São Paulo",1.750
oeste,55 m² construídos1 quarto,"Super Quadra Morumbi, São Paulo Zona Oeste, São Paulo",1.700
oeste,65 m² construídos3 quartos,"Rua Trajano Reis, Butantã, São Paulo Zona Oeste, São Paulo",1.650
oeste,49 m² construídos2 quartos,"Jardim Casablanca, São Paulo Zona Oeste, São Paulo",1.300
oeste,42 m² construídos2 quartos,"Rua Engenheira Amália Pérola Cassab, Parque Munhoz, São Paulo Zona Oeste, São Paulo",1.350
oeste,33 m² construídos1 quarto,"Pinheiros, São Paulo Zona Oeste, São Paulo",3.300
oeste,239 m² construídos3 quartos,"Maranhão, Higienópolis, São Paulo Zona Oeste, São Paulo",15.000
oeste,140 m² construídos4 quartos,"Jardim Colombo, São Paulo Zona Oeste, São Paulo",3.100
oeste,49 m² construídos1 quarto,"Rua Cardeal Arcoverde, Pinheiros, São Paulo Zona Oeste, São Paulo",1.240
oeste,35 m² construídos1 quarto,"Rua Doutor Osvaldo Mellone, Vila Prel, São Paulo Zona Oeste, São Paulo",1.150
oeste,72 m² construídos1 quarto,"Rua Barcelona, Jaguaré, São Paulo Zona Oeste, São Paulo",920
oeste,69 m² construídos2 quartos,"Avenida Raimundo Pereira De Magalhães, Jardim Íris, São Paulo Zona Oeste, São Paulo",1.290
oeste,140 m² construídos3 quartos,"Rua Marechal Hastinfilo De Moura,
                338 -, Vila Suzana, São Paulo Zona Oeste, São Paulo",2.700
oeste,65 m² construídos2 quartos,"Rua Barroso Neto, Vila Indiana, São Paulo Zona Oeste, São Paulo",1.900
oeste,53 m² construídos2 quartos,"Rua Coronel Bento Bicudo, Piqueri, São Paulo Zona Oeste, São Paulo",1.350
oeste,44 m² construídos2 quartos,"Avenida Aparecida Do Rio Negro, Jardim Íris, São Paulo Zona Oeste, São Paulo",1.500
oeste,50 m² construídos2 quartos,"Rua Antônio Júlio Dos Santos, Fazenda Morumbi, São Paulo Zona Oeste, São Paulo",1.800
oeste,191 m² construídos4 quartos,"Rua Itapaiuna, 1800, Jardim Morumbi, São Paulo Zona Oeste, São Paulo",6.000
oeste,135 m² construídos3 quartos,"Rua Conego Eugenio Leite, 1122, Pinheiros, São Paulo Zona Oeste, São Paulo",6.000
oeste,37 m² construídos1 quarto,"Avenida Engenheiro Heitor Antônio Eiras García, Butantã, São Paulo Zona Oeste, São Paulo",1.224
oeste,40 m² construídos1 quarto,"Avenida José Joaquim Seabra, Butantã, São Paulo Zona Oeste, São Paulo",1.120
oeste,78 m² construídos3 quartos,"Rua Azém Abdalla Azém, Butantã, São Paulo Zona Oeste, São Paulo",1.300
oeste,154 m² construídos3 quartos,"Rua Hungara, 126, Vila Ipojuca, São Paulo Zona Oeste, São Paulo",6.000
oeste,208 m² construídos,"Rua Sansão Alves Dos Santos, 433, Cidade Moncoes, São Paulo Zona Oeste, São Paulo",8.000
oeste,94 m² construídos3 quartos,"Rua Doutor Cândido Espinheira, Perdizes, São Paulo Zona Oeste, São Paulo",2.000
oeste,40 m² construídos1 quarto,"Rua Armando Shibata, Jardim Rizzo, São Paulo Zona Oeste, São Paulo",1.200
oeste,62 m² construídos2 quartos,"Rua Ricardo Cavatton, Lapa De Baixo, São Paulo Zona Oeste, São Paulo",1.400
oeste,60 m² construídos2 quartos,"Rua Melo Palheta, Água Branca, São Paulo Zona Oeste, São Paulo",1.300
oeste,88 m² construídos2 quartos,"Rua Cajaíba, Vila Pompéia, São Paulo Zona Oeste, São Paulo",1.600
oeste,60 m² construídos1 quarto,"Avenida Jaguaré, Jaguaré, São Paulo Zona Oeste, São Paulo",1.400
oeste,40 m² construídos1 quarto,"Avenida José Joaquim Seabra, Jardim Ivana, São Paulo Zona Oeste, São Paulo",930
oeste,44 m² construídos2 quartos,"Avenida Aparecida Do Rio Negro, Jardim Íris, São Paulo Zona Oeste, São Paulo",1.390
oeste,43 m² construídos2 quartos,"Avenida Raimundo Pereira De Magalhães, Jardim Íris, São Paulo Zona Oeste, São Paulo",1.150
oeste,120 m² construídos2 quartos,"Rua Marcus Pereira, Vila Suzana, São Paulo Zona Oeste, São Paulo",2.000
oeste,82 m² construídos2 quartos,"Praça Benedito Calixto, Pinheiros, São Paulo Zona Oeste, São Paulo",2.200
oeste,60 m² construídos3 quartos,"Avenida Jaguaré, Jaguaré, São Paulo Zona Oeste, São Paulo",1.650
oeste,40 m² construídos1 quarto,"Rua Memória Antiga, Parque Sonia, São Paulo Zona Oeste, São Paulo",600
oeste,78 m² construídos2 quartos,"Rua Teodoro Sampaio, Pinheiros, São Paulo Zona Oeste, São Paulo",3.930
oeste,133 m² construídos4 quartos,"Avenida Raimundo Pereira De Magalhães, Jardim Íris, São Paulo Zona Oeste, São Paulo",2.720
oeste,63 m² construídos1 quarto,"Rua Teodoro Sampaio, Pinheiros, São Paulo Zona Oeste, São Paulo",2.000
oeste,80 m² construídos3 quartos,"Avenida Doutor Guilherme Dumont Vilares, Jardim Londrina, São Paulo Zona Oeste, São Paulo",1.400
oeste,44 m² construídos2 quartos,"Rua Francisco Luiz De Souza Júnior, Água Branca, São Paulo Zona Oeste, São Paulo",1.390
oeste,82 m² construídos2 quartos,"Rua Heitor Penteado, Sumarezinho, São Paulo Zona Oeste, São Paulo",1.890
oeste,15 m² construídos1 quarto,"Rua Doutor Sérgio Ruiz De Albuquerque, Rio Pequeno, São Paulo Zona Oeste, São Paulo",980
oeste,57 m² construídos3 quartos,"Rua Milton Soares, Jardim Sarah, São Paulo Zona Oeste, São Paulo",1.400
oeste,70 m² construídos2 quartos,"Rua Cachoeira Do Sul, Vila Jaguara, São Paulo Zona Oeste, São Paulo",1.700
oeste,73 m² construídos2 quartos,"Rua Fradique Coutinho, Pinheiros, São Paulo Zona Oeste, São Paulo",2.600
oeste,65 m² construídos2 quartos,"Rua Piracuama, Perdizes, São Paulo Zona Oeste, São Paulo",3.900
oeste,67 m² construídos3 quartos,"Rua Domingos Rodrigues, Lapa, São Paulo Zona Oeste, São Paulo",2.500
oeste,215 m² construídos2 quartos,"Rua Professor José Horácio Meirelles Teixeira, Parque Bairro Morumbi, São Paulo Zona Oeste, São Paulo",2.500
oeste,104 m² construídos2 quartos,"Rua Aibi, Vila Romana, São Paulo Zona Oeste, São Paulo",2.040
oeste,18 m² construídos1 quarto,"Rua Doutor Sérgio Ruiz De Albuquerque, Rio Pequeno, São Paulo Zona Oeste, São Paulo",1.070
oeste,40 m² construídos1 quarto,"Rua Coriolano, Vila Romana, São Paulo Zona Oeste, São Paulo",2.500
oeste,360 m² construídos3 quartos,"Avenida Cardeal Motta, City América, São Paulo Zona Oeste, São Paulo",7.000
oeste,70 m² construídos2 quartos,"Rua Jaguaré, Jaguaré, São Paulo Zona Oeste, São Paulo",2.070
oeste,85 m² construídos2 quartos,"Rua Alves Guimarães, Pinheiros, São Paulo Zona Oeste, São Paulo",2.560
